nps_responses_id,responded_date_id,customer_id,channel_id,nps_response_id,comment,score
50,20250326,1207,2,13000000049,Podría mejorar el empaque,2
51,20241118,1467,1,13000000050,Todo perfecto,8
52,20240606,1484,2,13000000051,Muy conforme con la calidad,8
53,20240523,815,1,13000000052,Atención muy buena,9
54,20240705,500,1,13000000053,Todo perfecto,9
55,20241216,1048,2,13000000054,UNKNOWN,10
56,20240414,19,1,13000000055,Entrega rápida y producto excelente,7
57,20241005,804,2,13000000056,Podría mejorar el empaque,7
58,20241023,500,2,13000000057,Entrega rápida y producto excelente,9
59,20250618,1179,2,13000000058,Podría mejorar el empaque,7
60,20250405,902,2,13000000059,Entrega rápida y producto excelente,9
61,20240302,548,1,13000000060,Atención muy buena,6
62,20240115,1335,1,13000000061,Volvería a comprar,9
63,20240724,903,1,13000000062,UNKNOWN,10
64,20250426,807,1,13000000063,Todo perfecto,8
65,20250328,43,2,13000000064,Tardó un poco más de lo esperado,7
66,20250430,1189,2,13000000065,Todo perfecto,8
67,20240630,554,1,13000000066,Entrega rápida y producto excelente,7
68,20250125,1411,1,13000000067,Podría mejorar el empaque,9
69,20240218,990,1,13000000068,Podría mejorar el empaque,2
70,20240430,581,2,13000000069,Entrega rápida y producto excelente,8
71,20250603,1214,2,13000000070,Muy conforme con la calidad,2
72,20250604,1182,1,13000000071,UNKNOWN,8
73,20241015,56,2,13000000072,Muy conforme con la calidad,9
74,20240809,1443,1,13000000073,Muy conforme con la calidad,9
75,20240924,822,1,13000000074,Podría mejorar el empaque,9
76,20250727,18,1,13000000075,Atención muy buena,7
77,20241212,436,1,13000000076,Podría mejorar el empaque,8
78,20240815,558,2,13000000077,Volvería a comprar,9
79,20250426,1202,2,13000000078,Todo perfecto,9
80,20241006,1412,2,13000000079,Podría mejorar el empaque,0
81,20250302,1336,2,13000000080,Tardó un poco más de lo esperado,6
82,20250916,1336,1,13000000081,Muy conforme con la calidad,7
83,20241209,1224,2,13000000082,UNKNOWN,10
84,20240728,859,1,13000000083,Atención muy buena,9
85,20240128,818,1,13000000084,Volvería a comprar,10
86,20241026,816,2,13000000085,Entrega rápida y producto excelente,6
87,20241016,653,1,13000000086,Muy conforme con la calidad,9
88,20241214,1056,1,13000000087,Tardó un poco más de lo esperado,8
89,20240205,1037,1,13000000088,Entrega rápida y producto excelente,7
90,20241228,959,2,13000000089,Podría mejorar el empaque,8
91,20241228,1406,1,13000000090,Atención muy buena,6
92,20250702,1296,1,13000000091,Entrega rápida y producto excelente,9
93,20250815,629,1,13000000092,Atención muy buena,5
94,20240306,439,2,13000000093,Tardó un poco más de lo esperado,4
95,20250901,1423,1,13000000094,Todo perfecto,8
96,20240529,1336,2,13000000095,Podría mejorar el empaque,8
97,20250824,1453,2,13000000096,UNKNOWN,6
98,20240807,722,1,13000000097,Podría mejorar el empaque,8
99,20240808,616,1,13000000098,Volvería a comprar,10
100,20240815,1104,1,13000000099,Todo perfecto,10
101,20241017,1004,1,13000000100,Tardó un poco más de lo esperado,4
102,20240408,304,2,13000000101,Podría mejorar el empaque,9
103,20240114,114,2,13000000102,Atención muy buena,10
104,20241008,248,2,13000000103,Entrega rápida y producto excelente,9
105,20240518,208,1,13000000104,Podría mejorar el empaque,5
106,20240120,445,1,13000000105,Tardó un poco más de lo esperado,10
107,20240214,1304,2,13000000106,Volvería a comprar,10
108,20240829,1493,1,13000000107,Muy conforme con la calidad,7
109,20240822,1123,1,13000000108,Entrega rápida y producto excelente,8
110,20250724,174,2,13000000109,Podría mejorar el empaque,5
111,20250814,825,1,13000000110,Podría mejorar el empaque,8
112,20250615,1120,2,13000000111,Todo perfecto,4
113,20240112,1101,1,13000000112,Atención muy buena,3
114,20240210,659,2,13000000113,Tardó un poco más de lo esperado,7
115,20240123,1379,1,13000000114,Tardó un poco más de lo esperado,7
116,20250920,550,2,13000000115,Volvería a comprar,9
117,20240314,1177,1,13000000116,Todo perfecto,7
118,20250607,1149,1,13000000117,Todo perfecto,9
119,20250602,236,1,13000000118,Volvería a comprar,9
120,20250203,226,1,13000000119,Volvería a comprar,9
121,20250210,850,2,13000000120,Entrega rápida y producto excelente,6
122,20241019,599,1,13000000121,Volvería a comprar,8
123,20250817,1230,2,13000000122,Entrega rápida y producto excelente,9
124,20250310,1177,1,13000000123,Volvería a comprar,7
125,20250119,728,1,13000000124,Todo perfecto,9
126,20250125,268,2,13000000125,Podría mejorar el empaque,7
127,20241023,980,2,13000000126,Atención muy buena,8
128,20240202,902,2,13000000127,Muy conforme con la calidad,5
129,20240406,800,2,13000000128,Podría mejorar el empaque,4
130,20250421,1447,1,13000000129,Podría mejorar el empaque,10
131,20250222,130,1,13000000130,Entrega rápida y producto excelente,7
132,20250601,1176,2,13000000131,Podría mejorar el empaque,9
133,20250731,771,2,13000000132,Entrega rápida y producto excelente,8
134,20241205,158,1,13000000133,Atención muy buena,0
135,20250612,811,1,13000000134,UNKNOWN,1
136,20241004,1369,1,13000000135,Podría mejorar el empaque,8
137,20250107,131,2,13000000136,Atención muy buena,8
138,20240714,69,2,13000000137,UNKNOWN,9
139,20240727,395,1,13000000138,Muy conforme con la calidad,9
140,20250306,1106,2,13000000139,Entrega rápida y producto excelente,6
141,20240816,4,1,13000000140,Atención muy buena,0
142,20250716,292,1,13000000141,UNKNOWN,7
143,20250124,1467,1,13000000142,Entrega rápida y producto excelente,5
144,20240908,317,1,13000000143,Todo perfecto,1
145,20250705,1374,2,13000000144,Todo perfecto,10
146,20240223,607,1,13000000145,UNKNOWN,6
147,20250520,661,1,13000000146,UNKNOWN,8
148,20240530,315,1,13000000147,UNKNOWN,7
149,20241002,522,2,13000000148,Podría mejorar el empaque,0
150,20241016,697,1,13000000149,Entrega rápida y producto excelente,2
151,20250526,1351,1,13000000150,Todo perfecto,5
152,20250311,1209,2,13000000151,Tardó un poco más de lo esperado,9
153,20240927,93,1,13000000152,Tardó un poco más de lo esperado,8
154,20250707,8,2,13000000153,UNKNOWN,8
155,20250208,1487,1,13000000154,Todo perfecto,8
156,20250604,501,1,13000000155,UNKNOWN,9
157,20250705,949,1,13000000156,UNKNOWN,8
158,20250114,745,1,13000000157,Atención muy buena,10
159,20250916,58,2,13000000158,Atención muy buena,8
160,20250507,1226,1,13000000159,Muy conforme con la calidad,9
161,20240331,952,2,13000000160,Podría mejorar el empaque,8
162,20250718,1424,1,13000000161,Podría mejorar el empaque,7
163,20250921,146,1,13000000162,Volvería a comprar,8
164,20250301,831,1,13000000163,Todo perfecto,3
165,20250804,991,1,13000000164,Tardó un poco más de lo esperado,0
166,20250111,485,1,13000000165,Tardó un poco más de lo esperado,8
167,20240812,789,2,13000000166,Volvería a comprar,4
168,20240326,1456,1,13000000167,Entrega rápida y producto excelente,1
169,20250619,1341,2,13000000168,Todo perfecto,8
170,20241215,993,1,13000000169,Entrega rápida y producto excelente,7
171,20241009,710,2,13000000170,UNKNOWN,8
172,20240922,609,1,13000000171,UNKNOWN,6
173,20250708,763,1,13000000172,Tardó un poco más de lo esperado,4
174,20250612,1356,1,13000000173,Volvería a comprar,1
175,20240602,1275,2,13000000174,Entrega rápida y producto excelente,7
176,20250917,490,2,13000000175,Todo perfecto,9
177,20240821,523,1,13000000176,UNKNOWN,9
178,20240707,1234,2,13000000177,Volvería a comprar,9
179,20240806,1163,1,13000000178,UNKNOWN,8
180,20251005,406,2,13000000179,Atención muy buena,8
181,20250710,835,1,13000000180,Volvería a comprar,2
182,20250507,320,1,13000000181,Volvería a comprar,8
183,20250106,414,1,13000000182,Muy conforme con la calidad,7
184,20240327,1463,1,13000000183,UNKNOWN,9
185,20240726,928,2,13000000184,UNKNOWN,10
186,20250221,643,1,13000000185,Podría mejorar el empaque,9
187,20250212,999,2,13000000186,UNKNOWN,2
188,20250629,207,1,13000000187,Muy conforme con la calidad,7
189,20250222,641,1,13000000188,Entrega rápida y producto excelente,0
190,20251006,1110,1,13000000189,Podría mejorar el empaque,1
191,20250524,1062,1,13000000190,Todo perfecto,8
192,20240810,698,1,13000000191,UNKNOWN,1
193,20250629,1236,1,13000000192,Todo perfecto,10
194,20240510,755,1,13000000193,Volvería a comprar,8
195,20240731,329,1,13000000194,Podría mejorar el empaque,7
196,20240925,800,1,13000000195,Todo perfecto,7
197,20240130,678,1,13000000196,Todo perfecto,10
198,20240514,1383,1,13000000197,Tardó un poco más de lo esperado,10
199,20240405,1251,1,13000000198,Todo perfecto,10
200,20240225,1252,1,13000000199,Entrega rápida y producto excelente,7
201,20250919,283,1,13000000200,Todo perfecto,5
202,20240714,907,2,13000000201,Todo perfecto,2
203,20241225,893,1,13000000202,Entrega rápida y producto excelente,1
204,20250428,413,2,13000000203,Volvería a comprar,8
205,20241027,788,2,13000000204,Podría mejorar el empaque,10
206,20250831,350,2,13000000205,Todo perfecto,8
207,20240118,758,2,13000000206,Muy conforme con la calidad,5
208,20250726,699,2,13000000207,Muy conforme con la calidad,10
209,20240206,689,1,13000000208,Tardó un poco más de lo esperado,9
210,20240424,348,1,13000000209,Tardó un poco más de lo esperado,1
211,20250502,974,1,13000000210,Entrega rápida y producto excelente,9
212,20250728,444,1,13000000211,Muy conforme con la calidad,7
213,20250906,96,1,13000000212,Tardó un poco más de lo esperado,9
214,20250119,674,1,13000000213,Podría mejorar el empaque,7
215,20241110,867,1,13000000214,Muy conforme con la calidad,8
216,20250726,686,1,13000000215,UNKNOWN,7
217,20240609,640,1,13000000216,Todo perfecto,10
218,20240810,1191,1,13000000217,Entrega rápida y producto excelente,9
219,20250524,321,2,13000000218,Volvería a comprar,5
220,20240928,1045,1,13000000219,Entrega rápida y producto excelente,3
221,20240113,644,2,13000000220,Atención muy buena,10
222,20250722,514,2,13000000221,Todo perfecto,8
223,20250204,649,1,13000000222,UNKNOWN,6
224,20250822,1294,2,13000000223,Podría mejorar el empaque,5
225,20250807,814,2,13000000224,Volvería a comprar,4
226,20241206,801,1,13000000225,Entrega rápida y producto excelente,7
227,20241208,351,1,13000000226,Todo perfecto,5
228,20241006,838,2,13000000227,Todo perfecto,8
229,20250514,78,1,13000000228,Podría mejorar el empaque,6
230,20241220,1338,1,13000000229,Podría mejorar el empaque,2
231,20240601,182,2,13000000230,UNKNOWN,7
232,20241122,560,1,13000000231,Atención muy buena,4
233,20240407,1390,1,13000000232,UNKNOWN,6
234,20241229,130,2,13000000233,Tardó un poco más de lo esperado,4
235,20250514,1143,2,13000000234,Muy conforme con la calidad,2
236,20250418,223,2,13000000235,Atención muy buena,7
237,20240216,622,1,13000000236,Volvería a comprar,2
238,20240609,1328,1,13000000237,Muy conforme con la calidad,9
239,20240227,1192,1,13000000238,Tardó un poco más de lo esperado,7
240,20240621,119,1,13000000239,Tardó un poco más de lo esperado,2
241,20250813,1115,1,13000000240,Podría mejorar el empaque,8
242,20240421,49,1,13000000241,Todo perfecto,8
243,20250903,1133,2,13000000242,Muy conforme con la calidad,5
244,20250716,193,1,13000000243,Volvería a comprar,9
245,20240128,539,1,13000000244,Tardó un poco más de lo esperado,6
246,20250326,200,1,13000000245,Podría mejorar el empaque,7
247,20240125,1084,1,13000000246,Podría mejorar el empaque,10
248,20240506,422,2,13000000247,Entrega rápida y producto excelente,10
249,20240905,348,2,13000000248,Entrega rápida y producto excelente,6
250,20250918,951,1,13000000249,Volvería a comprar,9
251,20241126,251,2,13000000250,Tardó un poco más de lo esperado,7
252,20250122,26,1,13000000251,Atención muy buena,8
253,20250314,1063,2,13000000252,Volvería a comprar,6
254,20240202,271,1,13000000253,Podría mejorar el empaque,8
255,20250120,567,1,13000000254,Entrega rápida y producto excelente,9
256,20250723,254,1,13000000255,Atención muy buena,9
257,20240405,66,2,13000000256,Entrega rápida y producto excelente,6
258,20250105,518,1,13000000257,Entrega rápida y producto excelente,0
259,20240626,603,1,13000000258,Tardó un poco más de lo esperado,7
260,20240130,321,1,13000000259,UNKNOWN,4
261,20250531,1210,2,13000000260,Tardó un poco más de lo esperado,9
262,20250209,407,2,13000000261,Atención muy buena,7
263,20250102,996,2,13000000262,Podría mejorar el empaque,9
264,20241103,1192,2,13000000263,Tardó un poco más de lo esperado,8
265,20240812,221,1,13000000264,Podría mejorar el empaque,1
266,20250724,1189,1,13000000265,Muy conforme con la calidad,6
267,20240723,1230,1,13000000266,Todo perfecto,9
268,20241208,244,1,13000000267,Podría mejorar el empaque,6
269,20241029,416,1,13000000268,Entrega rápida y producto excelente,6
270,20241021,289,2,13000000269,UNKNOWN,7
271,20240907,233,1,13000000270,Todo perfecto,0
272,20250319,300,1,13000000271,Todo perfecto,7
273,20241004,1066,1,13000000272,Atención muy buena,5
274,20240207,854,2,13000000273,Atención muy buena,10
275,20240127,1339,1,13000000274,Tardó un poco más de lo esperado,7
276,20241227,484,1,13000000275,Todo perfecto,10
277,20240112,948,1,13000000276,Entrega rápida y producto excelente,6
278,20241122,713,1,13000000277,Tardó un poco más de lo esperado,6
279,20250422,1466,1,13000000278,Entrega rápida y producto excelente,9
280,20250616,426,1,13000000279,Atención muy buena,7
281,20250304,1313,1,13000000280,Todo perfecto,0
282,20240716,995,1,13000000281,Muy conforme con la calidad,4
283,20250312,499,1,13000000282,Tardó un poco más de lo esperado,8
284,20250307,1408,2,13000000283,Tardó un poco más de lo esperado,7
285,20250311,498,1,13000000284,Entrega rápida y producto excelente,8
286,20241124,840,1,13000000285,Muy conforme con la calidad,6
287,20250210,92,1,13000000286,Tardó un poco más de lo esperado,9
288,20251006,1449,2,13000000287,Tardó un poco más de lo esperado,9
289,20250929,1129,2,13000000288,Entrega rápida y producto excelente,7
290,20241127,972,2,13000000289,UNKNOWN,8
291,20250917,260,2,13000000290,Volvería a comprar,8
292,20240123,683,2,13000000291,Tardó un poco más de lo esperado,4
293,20250427,1042,1,13000000292,Volvería a comprar,2
294,20240307,1422,1,13000000293,Muy conforme con la calidad,6
295,20240309,1347,2,13000000294,UNKNOWN,9
296,20250218,705,2,13000000295,Muy conforme con la calidad,8
297,20250620,1306,2,13000000296,Entrega rápida y producto excelente,10
298,20241206,327,2,13000000297,Entrega rápida y producto excelente,0
299,20240313,1119,1,13000000298,Podría mejorar el empaque,5
300,20250720,2,1,13000000299,Muy conforme con la calidad,10
301,20240225,988,1,13000000300,Podría mejorar el empaque,8
302,20250708,1485,1,13000000301,Atención muy buena,8
303,20250717,791,1,13000000302,Volvería a comprar,8
304,20250429,204,1,13000000303,Podría mejorar el empaque,9
305,20240504,22,2,13000000304,Entrega rápida y producto excelente,8
306,20250105,510,2,13000000305,UNKNOWN,1
307,20240406,614,2,13000000306,UNKNOWN,9
308,20241222,27,2,13000000307,Podría mejorar el empaque,9
309,20250721,1319,2,13000000308,Todo perfecto,6
310,20241117,845,1,13000000309,Volvería a comprar,9
311,20250714,783,2,13000000310,Muy conforme con la calidad,5
312,20250826,1350,1,13000000311,UNKNOWN,9
313,20250817,773,1,13000000312,Todo perfecto,7
314,20241027,1457,1,13000000313,Tardó un poco más de lo esperado,4
315,20241013,1488,1,13000000314,Atención muy buena,9
316,20240904,1286,1,13000000315,Muy conforme con la calidad,10
317,20250830,1306,1,13000000316,Tardó un poco más de lo esperado,9
318,20240209,397,2,13000000317,Podría mejorar el empaque,8
319,20240330,341,1,13000000318,Entrega rápida y producto excelente,4
320,20250523,1475,2,13000000319,Entrega rápida y producto excelente,9
321,20240212,963,1,13000000320,Entrega rápida y producto excelente,5
322,20240614,423,1,13000000321,Todo perfecto,9
323,20240418,1176,2,13000000322,Entrega rápida y producto excelente,9
324,20240410,1128,2,13000000323,Tardó un poco más de lo esperado,8
325,20250914,56,1,13000000324,Todo perfecto,8
326,20240424,389,2,13000000325,Atención muy buena,5
327,20250327,598,2,13000000326,Podría mejorar el empaque,9
328,20240602,2,2,13000000327,Todo perfecto,7
329,20250304,118,2,13000000328,Volvería a comprar,8
330,20250618,835,1,13000000329,UNKNOWN,10
331,20241102,554,1,13000000330,Todo perfecto,7
332,20250930,371,1,13000000331,UNKNOWN,10
333,20250609,965,1,13000000332,Volvería a comprar,9
334,20250215,687,2,13000000333,Atención muy buena,6
335,20241218,516,1,13000000334,UNKNOWN,9
336,20250506,1295,2,13000000335,Volvería a comprar,8
337,20240904,660,1,13000000336,Tardó un poco más de lo esperado,4
338,20251005,838,2,13000000337,UNKNOWN,8
339,20241011,447,2,13000000338,Atención muy buena,8
340,20240314,1187,2,13000000339,Volvería a comprar,4
341,20250701,1457,1,13000000340,Entrega rápida y producto excelente,7
342,20241104,16,1,13000000341,Podría mejorar el empaque,7
343,20240620,1421,1,13000000342,Tardó un poco más de lo esperado,0
344,20240813,861,1,13000000343,Muy conforme con la calidad,9
345,20241008,515,1,13000000344,Todo perfecto,2
346,20240518,280,1,13000000345,Entrega rápida y producto excelente,10
347,20240908,829,1,13000000346,Podría mejorar el empaque,7
348,20250721,1319,1,13000000347,Entrega rápida y producto excelente,10
349,20250703,682,1,13000000348,Tardó un poco más de lo esperado,10
350,20250918,649,1,13000000349,Entrega rápida y producto excelente,7
351,20240803,1041,1,13000000350,Todo perfecto,8
352,20241020,559,2,13000000351,Tardó un poco más de lo esperado,9
353,20250714,1187,2,13000000352,Muy conforme con la calidad,9
354,20250409,786,1,13000000353,Todo perfecto,6
355,20250223,1104,1,13000000354,Todo perfecto,6
356,20250730,505,2,13000000355,Volvería a comprar,4
357,20241113,436,1,13000000356,Atención muy buena,0
358,20250817,366,1,13000000357,Atención muy buena,5
359,20240517,829,2,13000000358,Tardó un poco más de lo esperado,8
360,20240411,570,1,13000000359,Atención muy buena,5
361,20240413,573,2,13000000360,Entrega rápida y producto excelente,10
362,20240413,63,1,13000000361,Todo perfecto,8
363,20250503,140,1,13000000362,Muy conforme con la calidad,10
364,20240307,650,2,13000000363,Volvería a comprar,9
365,20240529,558,1,13000000364,Volvería a comprar,7
366,20240518,498,2,13000000365,UNKNOWN,9
367,20240527,1337,2,13000000366,Podría mejorar el empaque,10
368,20250406,192,1,13000000367,Volvería a comprar,9
369,20241007,523,1,13000000368,Tardó un poco más de lo esperado,1
370,20250506,1009,1,13000000369,Entrega rápida y producto excelente,5
371,20250310,1079,1,13000000370,Atención muy buena,8
372,20250530,809,1,13000000371,Podría mejorar el empaque,9
373,20240205,332,1,13000000372,Atención muy buena,8
374,20241110,397,1,13000000373,Tardó un poco más de lo esperado,8
375,20240212,950,2,13000000374,Tardó un poco más de lo esperado,8
376,20241227,950,1,13000000375,Todo perfecto,10
377,20240310,1071,1,13000000376,Tardó un poco más de lo esperado,7
378,20240810,27,1,13000000377,Atención muy buena,5
379,20240525,1063,1,13000000378,Muy conforme con la calidad,5
380,20240809,930,1,13000000379,Atención muy buena,10
381,20241114,1435,2,13000000380,Podría mejorar el empaque,1
382,20240408,258,2,13000000381,Atención muy buena,10
383,20240211,847,1,13000000382,Volvería a comprar,4
384,20240901,921,2,13000000383,Muy conforme con la calidad,10
385,20250111,1231,1,13000000384,Tardó un poco más de lo esperado,7
386,20250526,292,1,13000000385,Podría mejorar el empaque,10
387,20241019,325,2,13000000386,Volvería a comprar,3
388,20250311,921,2,13000000387,Atención muy buena,3
389,20250524,248,1,13000000388,UNKNOWN,2
390,20240811,754,1,13000000389,UNKNOWN,8
391,20240422,708,1,13000000390,UNKNOWN,9
392,20250505,48,1,13000000391,Podría mejorar el empaque,6
393,20240505,786,2,13000000392,Atención muy buena,5
394,20240619,382,1,13000000393,UNKNOWN,4
395,20250214,895,1,13000000394,Tardó un poco más de lo esperado,6
396,20250211,821,1,13000000395,Entrega rápida y producto excelente,7
397,20240315,1032,1,13000000396,Todo perfecto,9
398,20250510,1262,1,13000000397,Todo perfecto,1
399,20240821,153,1,13000000398,Muy conforme con la calidad,9
400,20250804,816,1,13000000399,Todo perfecto,1
401,20240207,237,1,13000000400,Todo perfecto,7
402,20240331,589,2,13000000401,Podría mejorar el empaque,10
403,20250814,249,2,13000000402,Atención muy buena,6
404,20241214,1130,2,13000000403,Volvería a comprar,2
405,20250623,455,1,13000000404,Volvería a comprar,3
406,20250323,1306,1,13000000405,Podría mejorar el empaque,0
407,20241127,1359,1,13000000406,Atención muy buena,9
408,20240918,696,1,13000000407,Volvería a comprar,7
409,20240906,867,1,13000000408,Todo perfecto,7
410,20241101,690,1,13000000409,Podría mejorar el empaque,10
411,20250316,14,1,13000000410,Volvería a comprar,7
412,20241212,259,2,13000000411,UNKNOWN,2
413,20240123,334,1,13000000412,Todo perfecto,3
414,20240721,574,1,13000000413,Todo perfecto,9
415,20240530,716,1,13000000414,Volvería a comprar,10
416,20241216,204,2,13000000415,Todo perfecto,8
417,20250620,624,2,13000000416,Volvería a comprar,10
418,20240819,535,1,13000000417,Volvería a comprar,9
419,20240810,522,1,13000000418,Entrega rápida y producto excelente,7
420,20250415,589,1,13000000419,Tardó un poco más de lo esperado,9
421,20250112,1485,1,13000000420,Muy conforme con la calidad,9
422,20240824,544,1,13000000421,Volvería a comprar,9
423,20250104,253,1,13000000422,Atención muy buena,9
424,20240708,520,1,13000000423,Podría mejorar el empaque,8
425,20250216,1339,1,13000000424,Volvería a comprar,8
426,20240510,800,1,13000000425,Tardó un poco más de lo esperado,10
427,20240703,782,2,13000000426,Entrega rápida y producto excelente,9
428,20250831,488,2,13000000427,Tardó un poco más de lo esperado,3
429,20250212,1074,1,13000000428,Todo perfecto,6
430,20241226,789,2,13000000429,Muy conforme con la calidad,9
431,20250610,951,1,13000000430,Tardó un poco más de lo esperado,3
432,20250406,1210,1,13000000431,UNKNOWN,8
433,20250424,977,2,13000000432,Volvería a comprar,3
434,20250825,489,2,13000000433,Tardó un poco más de lo esperado,8
435,20240609,1192,2,13000000434,Entrega rápida y producto excelente,9
436,20241011,1461,2,13000000435,Volvería a comprar,5
437,20250714,28,1,13000000436,Volvería a comprar,6
438,20240714,459,2,13000000437,UNKNOWN,9
439,20240510,756,1,13000000438,Entrega rápida y producto excelente,2
440,20240122,1495,1,13000000439,Podría mejorar el empaque,8
441,20240307,584,1,13000000440,Todo perfecto,7
442,20251005,703,1,13000000441,Atención muy buena,2
443,20240121,1309,2,13000000442,Atención muy buena,7
444,20250601,323,2,13000000443,Muy conforme con la calidad,7
445,20250824,90,1,13000000444,Muy conforme con la calidad,8
446,20250113,761,1,13000000445,Tardó un poco más de lo esperado,5
447,20250426,999,1,13000000446,UNKNOWN,9
448,20250405,85,1,13000000447,Entrega rápida y producto excelente,9
449,20250725,405,1,13000000448,Podría mejorar el empaque,8
450,20241124,336,2,13000000449,Muy conforme con la calidad,2
451,20240707,179,1,13000000450,Entrega rápida y producto excelente,9
452,20240506,682,2,13000000451,Entrega rápida y producto excelente,8
453,20250603,862,2,13000000452,Tardó un poco más de lo esperado,8
454,20250416,1218,1,13000000453,Todo perfecto,5
455,20250610,31,1,13000000454,Todo perfecto,7
456,20250311,154,1,13000000455,UNKNOWN,10
457,20250726,1049,2,13000000456,Podría mejorar el empaque,10
458,20250607,586,1,13000000457,Atención muy buena,10
459,20240907,425,2,13000000458,Volvería a comprar,10
460,20240312,1235,1,13000000459,Podría mejorar el empaque,8
461,20240522,52,1,13000000460,Tardó un poco más de lo esperado,10
462,20250108,78,2,13000000461,Entrega rápida y producto excelente,3
463,20241215,405,1,13000000462,Entrega rápida y producto excelente,7
464,20250607,381,2,13000000463,Podría mejorar el empaque,7
465,20241002,284,1,13000000464,Podría mejorar el empaque,10
466,20240422,867,1,13000000465,Tardó un poco más de lo esperado,0
467,20240915,626,1,13000000466,UNKNOWN,8
468,20241129,195,1,13000000467,Entrega rápida y producto excelente,9
469,20240604,467,1,13000000468,Tardó un poco más de lo esperado,7
470,20250302,1107,2,13000000469,Tardó un poco más de lo esperado,7
471,20240125,580,1,13000000470,Muy conforme con la calidad,8
472,20240402,942,2,13000000471,Todo perfecto,7
473,20250628,1354,2,13000000472,Podría mejorar el empaque,10
474,20240209,540,1,13000000473,Muy conforme con la calidad,4
475,20250723,1161,1,13000000474,Entrega rápida y producto excelente,6
476,20250809,895,1,13000000475,Todo perfecto,8
477,20240716,399,1,13000000476,UNKNOWN,6
478,20250808,77,1,13000000477,Tardó un poco más de lo esperado,10
479,20250827,754,2,13000000478,UNKNOWN,0
480,20240818,1253,1,13000000479,Podría mejorar el empaque,7
481,20240717,1117,1,13000000480,Muy conforme con la calidad,6
482,20250722,413,1,13000000481,Volvería a comprar,6
483,20250608,40,2,13000000482,Atención muy buena,8
484,20241009,403,1,13000000483,Entrega rápida y producto excelente,1
485,20240827,1482,1,13000000484,Todo perfecto,6
486,20241222,790,1,13000000485,Podría mejorar el empaque,9
487,20240822,891,1,13000000486,Entrega rápida y producto excelente,0
488,20250611,819,2,13000000487,Muy conforme con la calidad,7
489,20240513,474,2,13000000488,UNKNOWN,9
490,20250408,1332,1,13000000489,Entrega rápida y producto excelente,8
491,20250730,305,1,13000000490,Todo perfecto,4
492,20240410,400,2,13000000491,Atención muy buena,7
493,20241129,415,2,13000000492,Todo perfecto,9
494,20240117,739,2,13000000493,Tardó un poco más de lo esperado,9
