payments_id,paid_date_id,order_date_id,customer_id,channel_id,order_id,payment_method,payment_status,transaction_ref,amount
48,20240308,20240308,1469,2,1000000047,CASH,PAID,TX-AL44LOCGN4MF,13068.0
49,0,20240913,408,2,1000000048,CARD,PENDING,UNKNOWN,28459.2
50,20240813,20240811,1360,2,1000000049,TRANSFER,PAID,TX-66ID36XC53T2,49005.0
51,20240725,20240725,1423,1,1000000050,GATEWAY,PAID,TX-7PTIHWUY0CDA,35685.0
52,20240918,20240915,741,1,1000000051,CARD,PAID,TX-F093FL0ELLCQ,38252.7
53,20241106,20241104,969,1,1000000052,CARD,PAID,TX-LC4H6TVD1ZOD,85377.6
54,0,20240810,729,1,1000000053,CARD,FAILED,UNKNOWN,33570.0
55,20240318,20240316,251,2,1000000054,CASH,PAID,TX-BABHWIKVNZZ3,14941.08
56,20250724,20250723,1087,2,1000000055,CARD,PAID,TX-RJQ9HE6VB7HF,51727.5
57,20250415,20250412,659,1,1000000056,CARD,PAID,TX-0RAAOO91OA8N,87140.25
58,20250223,20250221,338,2,1000000057,CASH,PAID,TX-UXBOXO5T9DHX,34394.25
59,0,20240921,1068,1,1000000058,CARD,FAILED,UNKNOWN,53953.5
60,20240703,20240701,958,1,1000000059,CARD,PAID,TX-7033ZUJCIUHD,77682.0
61,0,20240225,428,2,1000000060,CARD,FAILED,UNKNOWN,35283.6
62,20250303,20250301,1337,1,1000000061,CARD,PAID,TX-5BCIDL8LGH8R,15720.0
63,20241224,20241223,1442,2,1000000062,TRANSFER,PAID,TX-T7NWUQIQ9VOB,54450.0
64,20240601,20240530,939,1,1000000063,GATEWAY,PAID,TX-D4XNYWF5QEYL,46323.24
65,20250307,20250304,1409,1,1000000064,GATEWAY,PAID,TX-N8533KHZH4J5,19168.5
66,20240918,20240917,1062,1,1000000065,GATEWAY,PAID,TX-JPJLBWJ1IRVA,43888.8
67,0,20240126,988,1,1000000066,GATEWAY,FAILED,UNKNOWN,43888.8
68,20250412,20250411,778,1,1000000067,GATEWAY,REFUNDED,TX-MZNG9JBD25OS,18687.0
69,20241204,20241201,77,1,1000000068,CARD,PAID,TX-PRTYVEKSVQUQ,102166.35
70,20240614,20240612,700,1,1000000069,CARD,PAID,TX-4QPQRW6T77VI,53361.0
71,20250728,20250725,425,1,1000000070,CARD,PAID,TX-4N53JR8S1YKT,15420.0
72,20240724,20240722,1271,2,1000000071,CARD,PAID,TX-222J0CRS0SJJ,14229.6
73,20240204,20240202,1129,1,1000000072,GATEWAY,PAID,TX-P43FW2ENH6BE,17018.25
74,20241209,20241207,1224,1,1000000073,CARD,PAID,TX-HU7AKHXTZ1YN,19576.35
75,20241214,20241214,446,1,1000000074,CARD,PAID,TX-TR4GSE74V5DM,69071.4
76,20250324,20250322,867,1,1000000075,CARD,PAID,TX-SK0540SEJOKI,36474.0
77,20240302,20240301,127,1,1000000076,CARD,PAID,TX-N5EHQ403IVWA,29659.2
78,20241206,20241204,874,2,1000000077,CASH,PAID,TX-MBGQQW2NEF1F,28459.2
79,20250112,20250109,814,1,1000000078,CARD,PAID,TX-IKM85NPGE98X,49186.5
80,20250918,20250916,1189,1,1000000079,GATEWAY,PAID,TX-UIU52W85YPS8,40404.0
81,20241111,20241111,584,1,1000000080,CARD,PAID,TX-X6TWS79CTHK8,18687.0
82,20250202,20250202,1433,1,1000000081,CARD,PAID,TX-1VPIVXSYTP4J,64788.0
83,20250921,20250921,670,1,1000000082,CARD,PAID,TX-472J8NP9S8E9,42582.0
84,20240213,20240210,464,1,1000000083,GATEWAY,REFUNDED,TX-SBJLVY6L1XXX,47301.0
85,20241127,20241125,535,1,1000000084,GATEWAY,PAID,TX-GJJBKDYPJZ5E,19050.0
86,20250302,20250301,655,1,1000000085,GATEWAY,PAID,TX-4YYBKHTAB92W,16441.08
87,20250820,20250818,833,1,1000000086,GATEWAY,PAID,TX-H6SGL5WR6ZEB,14268.0
88,0,20241213,490,1,1000000087,CARD,FAILED,UNKNOWN,14994.0
89,20240203,20240203,360,1,1000000088,GATEWAY,PAID,TX-YO60F0EA8647,69144.0
90,20250620,20250618,1227,1,1000000089,CARD,PAID,TX-JKULC5L36UG4,18442.5
91,20240129,20240127,624,1,1000000090,CARD,PAID,TX-IO1AR1ZGZBUT,45458.25
92,20240219,20240217,228,1,1000000091,GATEWAY,PAID,TX-NDNQBVR081I1,110342.92
93,20240615,20240613,770,1,1000000092,GATEWAY,PAID,TX-7539MH4QX495,37200.0
94,20241115,20241114,54,2,1000000093,CASH,PAID,TX-V4AUXB59ROGA,102456.75
95,20241229,20241227,1006,2,1000000094,CASH,PAID,TX-LBRHLVO2Y93F,90387.0
96,20250926,20250925,247,1,1000000095,GATEWAY,PAID,TX-MBMP050ORNEE,59897.1
97,20250524,20250523,1127,2,1000000096,CASH,PAID,TX-14WCNJXENRUU,42688.8
98,20240614,20240612,757,2,1000000097,CASH,PAID,TX-TS02NI4GYBVJ,18676.35
99,20250117,20250116,520,1,1000000098,CARD,PAID,TX-2EHPQP6AIXY3,44351.1
100,20240228,20240227,258,1,1000000099,CARD,PAID,TX-6QBJB2NZNX9G,14520.0
101,0,20240730,467,1,1000000100,CARD,FAILED,UNKNOWN,28909.08
102,20240331,20240330,3,1,1000000101,GATEWAY,PAID,TX-N8LT25CDZBGQ,44460.0
103,20241120,20241119,334,1,1000000102,CARD,PAID,TX-UA4DQXIN6727,43888.8
104,0,20240325,802,2,1000000103,CASH,PENDING,UNKNOWN,37243.8
105,20240324,20240323,999,1,1000000104,CARD,REFUNDED,TX-GYPM2FM72C6Z,37500.0
106,20240512,20240512,176,1,1000000105,CARD,PAID,TX-HSNZ6UUKGLAE,27336.0
107,20250210,20250208,801,1,1000000106,GATEWAY,PAID,TX-886LJXE6L2ZU,19050.0
108,20240522,20240522,1113,1,1000000107,CARD,PAID,TX-W9F9L785FTPB,42064.2
109,20250704,20250704,810,2,1000000108,CASH,PAID,TX-QM24BIHB24AY,56029.05
110,20240424,20240422,581,2,1000000109,CARD,PAID,TX-18ZITZHX2G7U,39930.0
111,0,20250604,1284,2,1000000110,TRANSFER,FAILED,UNKNOWN,82364.7
112,20241221,20241220,1333,1,1000000111,GATEWAY,PAID,TX-LLQCAQ4XRN0T,19876.35
113,20250302,20250228,24,2,1000000112,CASH,PAID,TX-MH4GBLCKUHYD,92891.7
114,0,20240121,1222,2,1000000113,CARD,FAILED,UNKNOWN,15652.56
115,20240919,20240917,63,2,1000000114,TRANSFER,PAID,TX-42Q8BZ53GWTF,11761.2
116,20240219,20240219,1078,1,1000000115,CARD,REFUNDED,TX-PLUI46HDV8I9,27636.0
117,20240704,20240701,1091,1,1000000116,CARD,PAID,TX-FCJTQEJPPTTX,49116.0
118,20250120,20250119,524,1,1000000117,CARD,PAID,TX-AKHIN8QKBR9F,30240.0
119,20250818,20250816,1229,1,1000000118,CARD,PAID,TX-5HRXEHTTUWX2,47857.68
120,20250716,20250716,458,2,1000000119,CARD,PAID,TX-IWD52SW6D9WI,17787.0
121,20240421,20240418,68,1,1000000120,CARD,PAID,TX-ILPQFBQW1HUK,14229.6
122,20241220,20241220,959,2,1000000121,TRANSFER,PAID,TX-921BB2YAJ1WR,45520.2
123,20250830,20250830,356,2,1000000122,CASH,PAID,TX-89TOCP8FP1K8,43560.0
124,0,20250624,530,1,1000000123,CARD,FAILED,UNKNOWN,18987.0
125,20240206,20240206,1420,1,1000000124,GATEWAY,PAID,TX-1XC2I92PV07U,67367.64
126,20240711,20240709,279,2,1000000125,TRANSFER,PAID,TX-CII1J0F53QB3,62073.0
127,20240612,20240612,779,2,1000000126,CASH,PAID,TX-E46XAAD0XH2M,18150.0
128,20240229,20240228,1383,1,1000000127,CARD,PAID,TX-3DYYWZL0OZT4,69988.5
129,0,20250420,1189,1,1000000128,CARD,FAILED,UNKNOWN,101470.2
130,20250920,20250917,1016,1,1000000129,CARD,PAID,TX-RRK6UJVBP3BA,76858.8
131,20250523,20250521,595,2,1000000130,CASH,PAID,TX-J90VB1C4W9I4,14701.5
132,20240125,20240125,902,2,1000000131,CASH,PAID,TX-Y1HNXIYYVIWS,47916.0
133,20240728,20240726,317,1,1000000132,CARD,PAID,TX-M2V0MW405G00,33216.6
134,20240616,20240614,1229,2,1000000133,TRANSFER,PAID,TX-Z1JB0OXDFNS8,18150.0
135,20240108,20240106,279,2,1000000134,CASH,PAID,TX-98P7PRJHHZH1,75358.8
136,20240601,20240530,1498,2,1000000135,CASH,PAID,TX-1CGWJ9S8U287,39930.0
137,20250122,20250120,140,1,1000000136,CARD,PAID,TX-BW4Q46DERG87,34485.0
138,20241118,20241115,1115,1,1000000137,GATEWAY,PAID,TX-V1KGVXLOBICL,14229.6
139,20240106,20240103,1240,1,1000000138,CARD,PAID,TX-PXS2LYM9VUDM,42882.0
140,20240408,20240406,590,1,1000000139,CARD,PAID,TX-6FRNX7VHUKP5,17535.0
141,20250220,20250217,645,2,1000000140,CASH,PAID,TX-KDQIUT6HRCFU,16008.3
142,20241203,20241130,545,2,1000000141,TRANSFER,REFUNDED,TX-TJABWHM24N2G,14374.8
143,20250626,20250625,1208,1,1000000142,CARD,REFUNDED,TX-ATMX5MVNFKMN,62854.26
144,20240608,20240606,551,2,1000000143,CARD,PAID,TX-523ARBBR7DKI,80586.0
145,0,20240209,569,2,1000000144,CARD,FAILED,UNKNOWN,35937.0
146,20250721,20250719,1305,1,1000000145,GATEWAY,PAID,TX-30JNSPSKTRCG,37800.0
147,20240505,20240505,280,1,1000000146,CARD,PAID,TX-XAZ8J2P7RN3J,100951.88
148,20241208,20241207,1338,1,1000000147,CARD,PAID,TX-AY74FPLLGRCU,72701.4
149,20250624,20250621,84,1,1000000148,CARD,PAID,TX-FO8HBF5JCDZ9,43888.8
150,20250123,20250121,655,1,1000000149,GATEWAY,PAID,TX-Q8HCQUTXQ7XL,17235.0
151,20250531,20250530,513,2,1000000150,CARD,PAID,TX-16PJPVWP8VO5,39131.4
152,20240417,20240416,884,2,1000000151,CARD,PAID,TX-D5E93RC1Y9LZ,42688.8
153,20240109,20240108,385,2,1000000152,CARD,PAID,TX-60N330PGBOPH,11761.2
154,0,20250610,723,2,1000000153,CARD,FAILED,UNKNOWN,13068.0
155,20240702,20240701,110,2,1000000154,CASH,PAID,TX-C5TG8BKA8V0I,51455.25
156,20240212,20240212,1197,1,1000000155,CARD,PAID,TX-QDUILY7E5RXR,15420.0
157,20241029,20241029,833,2,1000000156,CASH,PAID,TX-38M7D53IIBFW,51727.5
158,0,20250126,371,2,1000000157,TRANSFER,FAILED,UNKNOWN,71692.5
159,20240425,20240424,905,2,1000000158,CARD,PAID,TX-2D7GG3Z4ZLDA,36300.0
160,20240714,20240714,389,1,1000000159,CARD,PAID,TX-WQF78OSLQBW6,16141.08
161,20240614,20240613,1299,2,1000000160,TRANSFER,PAID,TX-OTEFX8XIJPHG,35574.0
162,20241022,20241021,725,1,1000000161,GATEWAY,PAID,TX-ELH913SD09OY,55350.0
163,20250801,20250731,645,2,1000000162,CARD,PAID,TX-8EDJM7W4HXIO,27588.0
164,20240227,20240224,584,1,1000000163,CARD,PAID,TX-FA2N1L9GFVND,27036.0
165,20250223,20250222,436,1,1000000164,CARD,PAID,TX-YH73YULSS506,77130.0
166,20250828,20250827,293,1,1000000165,GATEWAY,PAID,TX-RBYQGYIW59OD,29959.2
167,20250729,20250727,1065,1,1000000166,GATEWAY,PAID,TX-D8WL2IKBUTZI,53744.25
168,0,20250118,1234,1,1000000167,CARD,FAILED,UNKNOWN,58172.85
169,0,20240226,400,1,1000000168,CARD,FAILED,UNKNOWN,50205.0
170,20240709,20240708,251,1,1000000169,GATEWAY,PAID,TX-XQWOUYAADU90,14268.0
171,20240329,20240329,764,2,1000000170,TRANSFER,PAID,TX-6YQEF864BWX0,36300.0
172,0,20250227,1490,1,1000000171,CARD,PENDING,UNKNOWN,15429.6
173,20240507,20240507,181,1,1000000172,GATEWAY,PAID,TX-0DQD29Q3T08A,28488.0
174,20250618,20250616,693,1,1000000173,CARD,PAID,TX-ALLSSFK7QIRJ,39315.0
175,20240908,20240907,672,2,1000000174,TRANSFER,PAID,TX-7EGA4TIAD1CG,14229.6
176,20240602,20240531,786,1,1000000175,GATEWAY,PAID,TX-4RCDBOT74U6U,15420.0
177,20250227,20250225,1347,2,1000000176,CASH,PAID,TX-RZQOC4EU0DBF,17968.5
178,20241125,20241123,628,1,1000000177,CARD,PAID,TX-8KSFQE50C7WX,16718.25
179,20250504,20250503,1485,2,1000000178,CARD,PAID,TX-UOPZ2LNTJYIU,16335.0
180,20250813,20250812,805,1,1000000179,GATEWAY,PAID,TX-3467WCDPI2EY,88746.0
181,20240522,20240521,445,1,1000000180,GATEWAY,PAID,TX-JKFCQJUKURK1,31692.0
182,20241113,20241112,560,1,1000000181,CARD,PAID,TX-XWTR1UEIAQ3J,29359.2
183,20240910,20240908,403,1,1000000182,GATEWAY,PAID,TX-7L09W7WAP0O0,31546.8
184,20241028,20241026,693,2,1000000183,TRANSFER,PAID,TX-A0GOAJB6RU3T,32670.0
185,20250513,20250511,274,2,1000000184,CASH,PAID,TX-W1W31Q5F7XKK,16335.0
186,20240720,20240718,804,1,1000000185,CARD,PAID,TX-QLQP66ZVGIMR,73611.24
187,20240731,20240730,1495,1,1000000186,GATEWAY,PAID,TX-T1WW8PAWHLQ7,14694.0
188,20250214,20250212,48,2,1000000187,CARD,REFUNDED,TX-LNM2XQQ0VBQ6,39204.0
189,20250825,20250823,661,2,1000000188,CARD,PAID,TX-CGL3TKQVXCRL,32670.0
190,20240504,20240502,984,1,1000000189,GATEWAY,PAID,TX-RYV7WF3XMBAU,45723.24
191,20240606,20240605,1384,1,1000000190,CARD,PAID,TX-ACMA2H5CSRRQ,14229.6
192,0,20250916,788,1,1000000191,CARD,FAILED,UNKNOWN,106896.24
193,20240310,20240308,456,2,1000000192,CASH,PAID,TX-R97RQQIO1QLM,14520.0
194,20240215,20240215,427,1,1000000193,CARD,PAID,TX-FWUNIBW1GIX5,40404.0
195,20250915,20250913,866,1,1000000194,GATEWAY,PAID,TX-UI9XQ56QBUBU,54450.0
196,20250301,20250228,371,1,1000000195,CARD,PAID,TX-L3XKKJLIVBCN,56666.4
197,20250817,20250814,1000,1,1000000196,GATEWAY,PAID,TX-R18606ZCYXQ6,37500.0
198,20240410,20240409,1404,1,1000000197,GATEWAY,PAID,TX-511R6MDMB6O7,14268.0
199,20240203,20240203,1159,1,1000000198,CARD,PAID,TX-HVOGE67SNVCE,36183.6
200,20250320,20250319,1040,1,1000000199,GATEWAY,PAID,TX-GMUCJI7EKVZA,59280.0
201,20240927,20240925,464,1,1000000200,GATEWAY,PAID,TX-FVLC254ZH0QA,27036.0
202,20241117,20241116,166,1,1000000201,GATEWAY,REFUNDED,TX-UHXXCDXF1Q2B,50749.5
203,20250329,20250327,1056,2,1000000202,CARD,PAID,TX-9BINMYXDHZ0E,43560.0
204,20241118,20241117,925,2,1000000203,CARD,PAID,TX-QCZ1LK4KTCM2,39204.0
205,0,20250127,488,1,1000000204,GATEWAY,FAILED,UNKNOWN,50205.0
206,20241001,20240930,903,1,1000000205,CARD,PAID,TX-ZU368UUJ2G43,17787.0
207,20250728,20250726,70,1,1000000206,CARD,PAID,TX-811NAE2DWBNU,29659.2
208,20250509,20250507,1459,1,1000000207,GATEWAY,PAID,TX-FAXI1S9NPAXU,15841.08
209,20250414,20250411,500,2,1000000208,CASH,PAID,TX-XR8ZBM8PE4L9,53905.5
210,20250404,20250403,361,1,1000000209,CARD,PAID,TX-ADKEL21AA6Y8,31692.0
211,20250321,20250320,476,1,1000000210,CARD,PAID,TX-FHAK7TJ2GWD8,17835.0
212,20250720,20250719,1400,2,1000000211,CASH,REFUNDED,TX-4S764623AHW9,80803.8
213,20250219,20250218,945,1,1000000212,CARD,PAID,TX-W53ZG1IGAE7U,15129.6
214,20240418,20240416,1443,1,1000000213,GATEWAY,PAID,TX-LPBS1GYAPNRR,20557.5
215,20240722,20240719,1430,1,1000000214,GATEWAY,PAID,TX-T9LZX8UBES81,28342.8
216,20240201,20240129,1330,1,1000000215,CARD,PAID,TX-L8B7K0MHIHTF,62628.15
217,20250512,20250510,274,1,1000000216,GATEWAY,PAID,TX-1ZY6N78JP289,19866.75
218,20240407,20240405,1251,2,1000000217,CARD,PAID,TX-GIU5DSJNCTFT,72554.62
219,20240707,20240704,176,1,1000000218,CARD,PAID,TX-U18MD3SZXDF0,39750.6
220,20240612,20240612,42,2,1000000219,CASH,PAID,TX-4KBQ08F1IH6L,54450.0
221,20250921,20250921,582,1,1000000220,CARD,PAID,TX-IDZYNING1FJ4,14694.0
222,20250507,20250507,4,2,1000000221,CARD,PAID,TX-GOAPADJXH3W6,28459.2
223,20240831,20240830,569,2,1000000222,CARD,PAID,TX-4FCM56J61UM0,26136.0
224,20241224,20241224,157,2,1000000223,CASH,PAID,TX-9W04PDTIIHE1,27442.8
225,20250323,20250322,649,1,1000000224,CARD,PAID,TX-SYTMXBV9MDPO,50205.0
226,20250807,20250805,1230,1,1000000225,CARD,PAID,TX-32II8K179YIX,41164.2
227,20240718,20240716,197,1,1000000226,CARD,PAID,TX-7SRDV4EEHRDW,36483.6
228,20240720,20240717,731,1,1000000227,GATEWAY,PAID,TX-O8PHNCK5QDAD,43888.8
229,20250330,20250327,506,1,1000000228,CARD,PAID,TX-KUBXDHQCLJXC,43588.8
230,0,20250410,751,2,1000000229,CARD,FAILED,UNKNOWN,16335.0
231,20241230,20241229,485,1,1000000230,GATEWAY,PAID,TX-YX4B18B9QCL3,40104.0
232,20240610,20240608,823,1,1000000231,GATEWAY,PAID,TX-PX6B4626S2QQ,58072.5
233,20250222,20250221,680,1,1000000232,GATEWAY,PAID,TX-FRUXTNXJ8UWO,45892.56
234,20241122,20241119,417,1,1000000233,CARD,PAID,TX-Z4JKA0J2NBI5,19050.0
235,20250530,20250528,677,1,1000000234,CARD,PAID,TX-E47RHOW59Q7S,29659.2
236,0,20241002,1327,2,1000000235,CASH,FAILED,UNKNOWN,26136.0
237,20250106,20250104,593,2,1000000236,CASH,PAID,TX-QF1ADFQ90QPH,29040.0
238,20241117,20241114,606,2,1000000237,CASH,PAID,TX-WRZQE54PFMIC,43560.0
239,20250324,20250322,137,2,1000000238,CASH,PAID,TX-9S9BHWO6L2MX,25613.28
240,20240221,20240220,487,1,1000000239,GATEWAY,PAID,TX-XL0GF8E59JMZ,63408.6
241,20241022,20241020,909,1,1000000240,CARD,REFUNDED,TX-9A8F8BOR2KEG,48090.0
242,20241012,20241011,179,2,1000000241,CASH,PAID,TX-QH1J5TAC9PFH,71874.0
243,0,20250815,183,1,1000000242,GATEWAY,FAILED,UNKNOWN,46023.24
244,20250610,20250608,536,1,1000000243,CARD,PAID,TX-CUJ1U5XI18T1,19965.0
245,20240914,20240913,1341,2,1000000244,CARD,PAID,TX-9T0Z6M9ZMXZX,24829.2
246,20250509,20250508,378,2,1000000245,CASH,REFUNDED,TX-6831FEZ0MSG1,48823.5
247,0,20250927,548,1,1000000246,GATEWAY,FAILED,UNKNOWN,74596.5
248,20241202,20241202,757,1,1000000247,GATEWAY,PAID,TX-HKUMCISYOXOM,19576.35
249,20241028,20241026,522,2,1000000248,TRANSFER,PAID,TX-RLOSALSUL8SN,13068.0
250,20240421,20240419,1384,2,1000000249,CASH,PAID,TX-NWGXV38PFITC,47916.0
251,20240924,20240921,473,1,1000000250,CARD,PAID,TX-32B62346A4RY,52955.25
252,20240317,20240315,1316,2,1000000251,CASH,PAID,TX-PXPQUBPX8JRW,41382.0
253,20240302,20240302,1356,2,1000000252,CASH,PAID,TX-2XQZ21XG77FL,53361.0
254,20250426,20250423,266,1,1000000253,GATEWAY,REFUNDED,TX-SMD7KL9INTUO,56018.16
255,20241014,20241013,1359,2,1000000254,TRANSFER,PAID,TX-YGMEXF9LO4ZZ,25613.28
256,20240814,20240813,843,1,1000000255,GATEWAY,PAID,TX-5LZ2L2E9EU0G,18687.0
257,20241001,20241001,599,1,1000000256,GATEWAY,PAID,TX-ATXAB0G3YVOL,29659.2
258,20250601,20250530,1048,2,1000000257,CARD,PAID,TX-5ZVOMXW3HB9E,70059.0
259,20241229,20241226,319,1,1000000258,CARD,PAID,TX-YRH62E21TRBX,35385.0
260,20250907,20250904,846,1,1000000259,GATEWAY,REFUNDED,TX-3JF46DE7KIOS,32805.12
261,20241213,20241212,1491,1,1000000260,CARD,PAID,TX-XKQN8OY7GNJZ,41130.0
262,20250815,20250814,79,1,1000000261,CARD,PAID,TX-2BYNCS5834BK,29040.0
263,20241120,20241118,748,1,1000000262,CARD,PAID,TX-KVZBDGVVVVDK,43588.8
264,20250101,20241231,537,1,1000000263,CARD,PAID,TX-SGWN0MODP9NU,49905.0
265,20250820,20250819,303,2,1000000264,CARD,PAID,TX-M6XK7OX4ROYL,69750.45
266,20240429,20240427,1065,1,1000000265,GATEWAY,PAID,TX-10MEATDUX63R,64468.56
267,20250508,20250507,606,1,1000000266,GATEWAY,PAID,TX-SWCAHKTWI9B8,48325.95
268,20240301,20240229,553,1,1000000267,CARD,PAID,TX-RZNNWXSS3SVY,33870.0
269,0,20250314,656,1,1000000268,CARD,FAILED,UNKNOWN,13794.0
270,0,20241013,786,1,1000000269,CARD,FAILED,UNKNOWN,83617.05
271,20240216,20240216,663,2,1000000270,CASH,PAID,TX-LUUJ7KEX5DEV,14229.6
272,20240213,20240212,833,1,1000000271,CARD,REFUNDED,TX-0EOARRWWS4FZ,87448.8
273,20241027,20241025,844,1,1000000272,GATEWAY,PAID,TX-JNBZVFV991AC,33144.0
274,20240302,20240301,720,1,1000000273,CARD,PAID,TX-ZV4TY9YKRZ1Y,43588.8
275,20240928,20240928,169,2,1000000274,CARD,PAID,TX-3G5SMQ5UFK8U,77064.9
276,20240624,20240621,969,1,1000000275,GATEWAY,PAID,TX-217PFTPYBOR9,27336.0
277,20250528,20250526,268,2,1000000276,CARD,PAID,TX-3TFMS12WBAKE,29040.0
278,20241014,20241014,122,2,1000000277,CARD,PAID,TX-DWW8DXAJXMB5,50820.0
279,20250306,20250304,617,1,1000000278,GATEWAY,PAID,TX-WLX04XSBY2OU,27636.0
280,0,20250815,608,1,1000000279,GATEWAY,FAILED,UNKNOWN,54261.0
281,20240722,20240720,732,2,1000000280,CARD,PAID,TX-DPUSQC38SEOO,33033.0
282,20250312,20250311,211,1,1000000281,CARD,PAID,TX-NIFMPEOSO1F1,54101.28
283,20241229,20241228,475,1,1000000282,GATEWAY,PAID,TX-41Q6L4JDGJ8Y,24422.4
284,20250723,20250721,949,1,1000000283,CARD,PAID,TX-70LGRPZRXEP4,16718.25
285,20240310,20240309,426,2,1000000284,CARD,PAID,TX-5MN6SC6XSGAF,70785.0
286,0,20241030,386,1,1000000285,CARD,FAILED,UNKNOWN,19350.0
287,20240713,20240711,500,1,1000000286,CARD,PAID,TX-4U41TQZ1VFUJ,37074.0
288,20250618,20250617,677,2,1000000287,CASH,PAID,TX-6ZHDQAIBHYHH,51727.5
289,20250202,20250201,33,2,1000000288,CASH,PAID,TX-5HTY6XNGDJ56,14229.6
290,0,20250226,194,1,1000000289,CARD,FAILED,UNKNOWN,90389.1
